Gene_Symbol	Gene Category
SUPT3H	FUSIL "developmental lethal"
SUPT4H1	FUSIL "developmental lethal"
SVEP1	FUSIL "developmental lethal"
SYK	FUSIL "developmental lethal"
SYNRG	FUSIL "developmental lethal"
SYT4	Xianming (DH)
TCERG1	FUSIL "developmental lethal"
TCF4	T2D (DH)
TCF7L2	T2D (DH)
TENT5C	FUSIL "developmental lethal"
TIPRL	FUSIL "developmental lethal"
TMEM161B	FUSIL "developmental lethal"
TMEM63B	FUSIL "developmental lethal"
TOX4	FUSIL "developmental lethal"
TRIM71	FUSIL "developmental lethal"
TSPAN14	FUSIL "developmental lethal"
UBE2F	FUSIL "developmental lethal"
UBP1	FUSIL "developmental lethal"
UBXN7	FUSIL "developmental lethal"
UCHL5	FUSIL "developmental lethal"
UCN3	Xianming (DH)
UNC5C	FUSIL "developmental lethal"
USP14	FUSIL "developmental lethal"
USP32	FUSIL "developmental lethal"
VPS37D	FUSIL "developmental lethal"
VPS4A	FUSIL "developmental lethal"
WASF2	FUSIL "developmental lethal"
WNT4	Xianming (DH)
YIPF5	FUSIL "developmental lethal"
YLPM1	FUSIL "developmental lethal"
ZC3H11A	FUSIL "developmental lethal"
ZC3H4	FUSIL "developmental lethal"
ZMIZ2	FUSIL "developmental lethal"
ZNF496	FUSIL "developmental lethal"
ZNF536	FUSIL "developmental lethal"
ZNF771	T2D (DH)
ZRANB2	FUSIL "developmental lethal"
ZZZ3	FUSIL "developmental lethal"
	ALZ (LS)
	ALZ (LS)
	ALZ (LS)
	ALZ (LS)
	ALZ (LS)
	ALZ (LS)
	ALZ (LS)
	ALZ (LS)
	ALZ (LS)
	ALZ (LS)
	ALZ (LS)
	ALZ (LS)
	ALZ (LS)
	ALZ (LS)
	ALZ (LS)
	ALZ (LS)
	ALZ (LS)
	ALZ (LS)
	ALZ (LS)
	ALZ (LS)
	ALZ (LS)
	ALZ (LS)
	ALZ (LS)
	ALZ (LS)
	ALZ (LS)
	ALZ (LS)
	ALZ (LS)
	Positive Control
	Positive Control
	Positive Control
	Positive Control
	Positive Control
	Negative Control
	Negative Control
	Negative Control
